covidRelatedDeaths, totalExposures, facilityPopulationExposures, avgHappiness, residentInfections, facilityPopulationInfections, residentExposures
0,9,4.0,0.0,1.0,5.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,3,0.0,0.0,1.0,1.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,5,3.0,0.0,1.0,4.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,3,0.0,0.0,1.0,1.0,0.0
0,13,4.0,0.0,1.0,5.0,0.0
0,8,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,8,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,4,3.0,0.0,1.0,3.0,0.0
0,3,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,7,4.0,0.0,1.0,5.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,3,3.0,0.0,1.0,4.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,7,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,4,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,4,0.0,0.0,1.0,1.0,0.0
0,3,3.0,0.0,1.0,4.0,0.0
0,3,0.0,0.0,1.0,1.0,0.0
0,13,4.0,0.0,1.0,5.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,6,3.0,0.0,1.0,3.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,6,4.0,0.0,1.0,4.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,0,0.0,0.0,1.0,1.0,0.0
0,13,4.0,0.0,1.0,5.0,0.0
0,7,4.0,0.0,1.0,5.0,0.0
0,8,4.0,0.0,1.0,5.0,0.0
0,3,3.0,0.0,1.0,4.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,13,4.0,0.0,1.0,5.0,0.0
0,0,0.0,0.0,1.0,1.0,0.0
0,4,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,13,4.0,0.0,1.0,5.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,10,4.0,0.0,1.0,4.0,0.0
0,8,4.0,0.0,1.0,5.0,0.0
0,8,4.0,0.0,1.0,5.0,0.0
0,4,0.0,0.0,1.0,1.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,4,3.0,0.0,1.0,4.0,0.0
0,10,4.0,0.0,1.0,5.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,2,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,9,4.0,0.0,1.0,5.0,0.0
0,4,3.0,0.0,1.0,4.0,0.0
0,11,4.0,0.0,1.0,5.0,0.0
0,3,3.0,0.0,1.0,4.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,12,4.0,0.0,1.0,5.0,0.0
0,13,4.0,0.0,1.0,4.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,1.0,1.0,0.0
0,0,0.0,0.0,1.0,1.0,0.0
