covidRelatedDeaths, totalExposures, facilityPopulationExposures, avgHappiness, residentInfections, facilityPopulationInfections, residentExposures
1,3,0.0,42.1780750080307,1.0,1.0,0.0
1,66,6.0,42.328809011206275,1.0,7.0,0.0
1,64,5.0,43.10700268068825,1.0,6.0,0.0
1,63,7.0,43.10411620269375,1.0,7.0,0.0
1,56,4.0,43.36075074349591,1.0,5.0,0.0
1,5,0.0,42.17397010140619,1.0,1.0,0.0
1,71,7.0,42.42511569458144,1.0,6.0,0.0
1,66,6.0,42.96418551678565,1.0,6.0,0.0
1,60,6.0,43.795734593433835,1.0,7.0,0.0
1,68,6.0,42.66477673623757,1.0,7.0,0.0
1,68,6.0,42.63322940489386,1.0,6.0,0.0
1,2,0.0,43.0303508197748,1.0,1.0,0.0
1,68,7.0,42.13683578956913,1.0,5.0,0.0
1,4,0.0,42.42439936527666,1.0,1.0,0.0
1,3,0.0,43.48459112211368,1.0,1.0,0.0
1,63,6.0,43.08825704431,1.0,6.0,0.0
1,4,0.0,43.72851566627739,1.0,1.0,0.0
1,1,0.0,43.74021320751712,1.0,1.0,0.0
1,4,0.0,42.45214955218427,1.0,1.0,0.0
1,6,0.0,43.26889863846827,1.0,1.0,0.0
1,4,0.0,42.00543217242415,1.0,1.0,0.0
1,5,0.0,41.068044551519336,1.0,1.0,0.0
1,67,4.0,42.302685363130905,1.0,5.0,0.0
1,65,7.0,41.27675793353322,1.0,6.0,0.0
1,60,5.0,41.37745910328335,1.0,5.0,0.0
1,5,0.0,43.30206940859155,1.0,1.0,0.0
1,69,7.0,42.59256514339463,1.0,6.0,0.0
1,63,6.0,43.21202283424663,1.0,5.0,0.0
1,64,4.0,42.132616968661864,1.0,5.0,0.0
1,61,4.0,42.90285747264424,1.0,5.0,0.0
1,1,0.0,42.14204388895268,1.0,1.0,0.0
1,6,0.0,42.51145051218881,1.0,1.0,0.0
1,64,6.0,42.492016225865896,1.0,7.0,0.0
1,0,0.0,42.754197216398246,1.0,1.0,0.0
1,64,6.0,42.13631714239819,1.0,6.0,0.0
1,64,6.0,43.399871096352854,1.0,5.0,0.0
1,4,0.0,42.61334597965019,1.0,1.0,0.0
1,63,5.0,43.071439779709245,1.0,6.0,0.0
1,60,5.0,41.1627633266807,1.0,6.0,0.0
1,59,5.0,42.790125194431916,1.0,6.0,0.0
1,65,6.0,43.3055011456569,1.0,6.0,0.0
1,1,0.0,42.1277350532661,1.0,1.0,0.0
1,2,0.0,42.37211790360963,1.0,1.0,0.0
1,60,5.0,43.544981145112445,1.0,6.0,0.0
1,2,0.0,42.664593190649136,1.0,1.0,0.0
1,3,0.0,42.69614418887868,1.0,1.0,0.0
1,61,5.0,42.074520641152134,1.0,5.0,0.0
1,3,0.0,42.44763645678365,1.0,1.0,0.0
1,2,0.0,41.89405027757062,1.0,1.0,0.0
1,5,0.0,42.97822529042731,1.0,1.0,0.0
1,3,0.0,41.861186413234854,1.0,1.0,0.0
1,61,4.0,41.26021662460422,1.0,5.0,0.0
1,56,6.0,41.668080617273255,1.0,7.0,0.0
1,63,5.0,43.48177887501403,1.0,6.0,0.0
1,63,5.0,41.00693612880511,1.0,6.0,0.0
1,59,4.0,42.67374183548825,1.0,5.0,0.0
1,55,5.0,40.87936054755353,1.0,5.0,0.0
1,5,0.0,41.97947052306963,1.0,1.0,0.0
1,50,5.0,42.46729437485178,1.0,5.0,0.0
1,63,6.0,42.999069561235615,1.0,6.0,0.0
1,65,5.0,43.24214039250071,1.0,6.0,0.0
1,1,0.0,42.21929569501076,1.0,1.0,0.0
1,60,5.0,41.42572168218159,1.0,5.0,0.0
1,8,4.0,41.36689905160922,1.0,5.0,0.0
1,5,0.0,43.09013589229118,1.0,1.0,0.0
1,63,5.0,43.06446113349475,1.0,6.0,0.0
1,7,3.0,42.24517381607643,1.0,4.0,0.0
1,3,0.0,42.83573764466128,1.0,1.0,0.0
1,3,0.0,40.948018843110816,1.0,1.0,0.0
1,62,5.0,42.50823956978534,1.0,5.0,0.0
1,2,0.0,42.30444058638221,1.0,1.0,0.0
1,60,4.0,43.07714627929718,1.0,5.0,0.0
1,69,6.0,42.10949374922544,1.0,6.0,0.0
1,66,6.0,43.81634638252303,1.0,5.0,0.0
1,6,4.0,42.62923676353946,1.0,5.0,0.0
1,6,4.0,42.21234740306663,1.0,5.0,0.0
1,72,6.0,41.79340730492265,1.0,7.0,0.0
1,59,5.0,43.39327573416397,1.0,5.0,0.0
1,63,5.0,40.918167917851605,1.0,6.0,0.0
1,64,5.0,42.157036013987536,1.0,6.0,0.0
1,62,5.0,42.31085721129549,1.0,6.0,0.0
1,68,5.0,42.67854501451154,1.0,6.0,0.0
1,63,5.0,42.17161956031786,1.0,6.0,0.0
1,3,0.0,42.74816134504698,1.0,1.0,0.0
1,9,5.0,43.32547285442002,1.0,6.0,0.0
1,4,0.0,42.24424966783734,1.0,1.0,0.0
1,63,6.0,42.64248242889168,1.0,5.0,0.0
1,2,0.0,42.612218534661544,1.0,1.0,0.0
1,59,5.0,44.54886196571835,1.0,6.0,0.0
1,60,7.0,43.039284782393956,1.0,8.0,0.0
